               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.030919,           0.0088262,                   0,             0.71765,             0.60518,             0.64724,             0.27916,            0.041766,           0.0049466,                   0,            0.000406,            0.000406,            0.000406
                  62,            0.031051,           0.0081713,                   0,             0.71927,             0.61004,             0.64371,             0.28027,            0.041629,           0.0048969,                   0,           0.0003961,           0.0003961,           0.0003961
                  63,            0.031307,           0.0084686,                   0,             0.73226,              0.6131,             0.64367,             0.28043,            0.041843,           0.0049357,                   0,           0.0003862,           0.0003862,           0.0003862
                  64,            0.031369,           0.0080214,                   0,             0.74271,             0.60119,             0.65664,             0.28481,            0.041986,           0.0048895,                   0,           0.0003763,           0.0003763,           0.0003763
                  65,            0.030849,           0.0086333,                   0,              0.7199,             0.61905,             0.64278,             0.27969,            0.042121,           0.0049075,                   0,           0.0003664,           0.0003664,           0.0003664
                  66,             0.03127,           0.0085668,                   0,             0.71966,             0.59594,             0.64626,             0.28135,            0.041718,           0.0048567,                   0,           0.0003565,           0.0003565,           0.0003565
                  67,             0.03028,           0.0084578,                   0,             0.73475,             0.60714,             0.65111,             0.28256,            0.041658,           0.0048851,                   0,           0.0003466,           0.0003466,           0.0003466
                  68,            0.030069,           0.0085101,                   0,             0.72476,              0.6131,             0.65489,             0.28088,            0.041421,           0.0049256,                   0,           0.0003367,           0.0003367,           0.0003367
                  69,            0.030465,           0.0082581,                   0,             0.72014,             0.59738,             0.65645,             0.28222,            0.041586,           0.0048516,                   0,           0.0003268,           0.0003268,           0.0003268
                  70,             0.03104,           0.0086138,                   0,             0.70865,             0.61905,             0.66543,             0.28415,            0.041604,           0.0048717,                   0,           0.0003169,           0.0003169,           0.0003169
                  71,            0.030563,            0.008533,                   0,             0.72219,             0.60119,             0.65151,             0.28409,            0.041484,           0.0048995,                   0,            0.000307,            0.000307,            0.000307
                  72,            0.031089,           0.0088073,                   0,             0.73047,              0.6131,             0.66059,               0.283,             0.04151,           0.0049123,                   0,           0.0002971,           0.0002971,           0.0002971
                  73,            0.030598,            0.008245,                   0,             0.72156,             0.61702,             0.66422,             0.28312,            0.041814,           0.0049188,                   0,           0.0002872,           0.0002872,           0.0002872
                  74,            0.030793,            0.008528,                   0,             0.72083,             0.63095,             0.66189,             0.28484,            0.041293,           0.0049282,                   0,           0.0002773,           0.0002773,           0.0002773
                  75,            0.030539,           0.0083719,                   0,             0.72251,             0.60446,             0.65039,             0.28399,            0.041242,           0.0049363,                   0,           0.0002674,           0.0002674,           0.0002674
                  76,            0.030042,           0.0081423,                   0,             0.74497,             0.60714,             0.66378,             0.28493,            0.041986,           0.0049219,                   0,           0.0002575,           0.0002575,           0.0002575
                  77,             0.03073,           0.0087345,                   0,             0.71052,             0.60714,             0.64795,             0.28465,            0.041338,            0.004895,                   0,           0.0002476,           0.0002476,           0.0002476
                  78,            0.030632,           0.0082637,                   0,             0.73182,             0.60714,             0.65329,             0.28122,            0.041788,           0.0049105,                   0,           0.0002377,           0.0002377,           0.0002377
                  79,            0.030145,           0.0083438,                   0,             0.72221,               0.619,             0.65619,             0.27948,            0.041563,           0.0049189,                   0,           0.0002278,           0.0002278,           0.0002278
                  80,            0.030223,           0.0084188,                   0,             0.74684,             0.60714,             0.66142,                0.28,            0.041743,           0.0049444,                   0,           0.0002179,           0.0002179,           0.0002179
                  81,            0.030025,           0.0083725,                   0,             0.75526,             0.60119,             0.66267,             0.27779,            0.041461,           0.0049459,                   0,            0.000208,            0.000208,            0.000208
                  82,            0.030421,           0.0087195,                   0,             0.74941,             0.59524,             0.66127,             0.28111,            0.041154,           0.0049349,                   0,           0.0001981,           0.0001981,           0.0001981
                  83,            0.030168,           0.0084279,                   0,             0.74203,             0.59524,             0.64498,             0.27887,             0.04104,           0.0048906,                   0,           0.0001882,           0.0001882,           0.0001882
                  84,            0.030083,           0.0080257,                   0,               0.708,             0.60714,             0.64357,             0.27702,            0.040761,           0.0048512,                   0,           0.0001783,           0.0001783,           0.0001783
                  85,            0.029881,           0.0085857,                   0,             0.73976,             0.60714,             0.66303,              0.2767,            0.040815,           0.0049108,                   0,           0.0001684,           0.0001684,           0.0001684
                  86,            0.029953,           0.0083454,                   0,             0.73435,             0.59524,             0.63721,             0.27424,            0.041339,           0.0048718,                   0,           0.0001585,           0.0001585,           0.0001585
                  87,            0.030047,           0.0087317,                   0,             0.71935,             0.60714,             0.65955,             0.27458,            0.041433,            0.004916,                   0,           0.0001486,           0.0001486,           0.0001486
                  88,            0.030535,           0.0082418,                   0,             0.75317,             0.60714,             0.66363,             0.27699,            0.041043,           0.0049305,                   0,           0.0001387,           0.0001387,           0.0001387
                  89,             0.03008,           0.0081883,                   0,             0.73142,             0.60119,             0.64706,             0.28086,            0.041141,            0.004871,                   0,           0.0001288,           0.0001288,           0.0001288
                  90,            0.030188,            0.008486,                   0,             0.74077,              0.6131,             0.65258,             0.28335,            0.042005,           0.0049385,                   0,           0.0001189,           0.0001189,           0.0001189
                  91,            0.029393,           0.0082338,                   0,             0.72558,             0.60714,               0.653,             0.28037,            0.041654,           0.0049015,                   0,            0.000109,            0.000109,            0.000109
                  92,            0.029345,           0.0081872,                   0,             0.75304,             0.59524,             0.65398,             0.28278,            0.040969,           0.0048857,                   0,            9.91e-05,            9.91e-05,            9.91e-05
                  93,            0.030383,           0.0083569,                   0,              0.7455,             0.59524,             0.64776,             0.27948,            0.041441,           0.0048901,                   0,            8.92e-05,            8.92e-05,            8.92e-05
                  94,            0.030546,            0.008247,                   0,             0.73733,              0.6015,             0.66362,             0.27887,            0.040906,           0.0049002,                   0,            7.93e-05,            7.93e-05,            7.93e-05
                  95,            0.030562,           0.0082322,                   0,             0.74511,             0.60904,             0.66326,             0.28253,            0.041108,           0.0049042,                   0,            6.94e-05,            6.94e-05,            6.94e-05
                  96,            0.029971,           0.0085027,                   0,             0.74796,             0.60119,             0.65247,              0.2789,            0.041261,           0.0048877,                   0,            5.95e-05,            5.95e-05,            5.95e-05
